Recipe title,Subheading,Image (link),Recipe-detail serves,Recipe-detail time,Recipe-detail,Calories,Fat,Saturates,Sugars,Salt,Protein,Carbs,Fibre,Ingred-list,RecipeSteps
Cracker ravioli | Pasta recipes | Jamie Oliver recipes,"Spinach pasta, sweet squash, chestnuts, sage & ricotta","https://img.jamieoliver.com/jamieoliver/recipe-database/63841221.jpg?tr=w-800,h-1066","['a', 'starter']",In3 hours,"“I’ve always thought of ravioli as the ultimate edible present – something made with love and wrapped up like a Christmas
cracker. The Italians would call this caramelle because it looks like a giant sweet, but I like to think of it as crackers! ”",917,46.4g,17.9g,17.3g,0.6g,27.6g,101g,9g,"1                                                                                                                                                                                                                     butternut squash                                                                                                                                                                , (1.2kg), 250                                                                                                                                                                g                                                                                                                                                                ricotta cheese, ½                                                                                                                                                                teaspoon                                                                                                                                                                dried red chilli flakes, 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating, olive oil, 200                                                                                                                                                                g                                                                                                                                                                vac-packed chestnuts, ½                                                                                                                                                                a bunch of                                                                                                                                                                fresh sage                                                                                                                                                                , (15g), 20                                                                                                                                                                g                                                                                                                                                                Parmesan cheese                                                                                                                                                                , plus extra to serve, PASTA, 1 x                                                                                                                                                                                                                     Royal pasta dough, 75                                                                                                                                                                g                                                                                                                                                                baby spinach, semolina                                                                                                                                                                , for dusting, BUTTER SAUCE, 100                                                                                                                                                                g                                                                                                                                                                unsalted butter, 4                                                                                                                                                                                                                    clementines, TO SERVE, 50                                                                                                                                                                g                                                                                                                                                                skin-on almonds","Preheat the oven to 180ºC/350ºF/gas 4., To make your filling, wash the squash, carefully cut it in half lengthways and remove the seeds, then chop into eight big chunks and place in a large roasting tray., Add the whole ricotta, sprinkle over the chilli flakes and a pinch of sea salt and black pepper, then finely grate over half the nutmeg. Drizzle with oil and gently toss together. Roast for 1 hour., Crumble up the chestnuts, pick the sage leaves, toss both in a little oil, then sprinkle into the tray. Roast for another 15 minutes, or until the squash is tender and golden, and the ricotta is gnarly-looking., Finely grate the Parmesan into the tray, season and mash it all together, as chunky or smooth as you like. Leave to cool completely., Make the pasta dough in a food processor, blitzing the spinach and egg yolks together before adding the dry ingredients. Wrap the dough in clingfilm and pop into the fridge for 30 minutes., Divide the pasta in half, saving one half for another day. Cut the remaining piece in two (wrapping one piece back up momentarily), and roll out into sheets that are just 2mm thick – use a pasta machine, or do it by hand with a rolling pin., Cut into rectangles 15cm x 12cm. Spoon 2 tablespoons of filling along the length of each one, near the bottom edge, leaving 1.5cm at either end., Brush the exposed pasta with a damp brush, then roll up and pinch in the sides to seal and create cracker shapes., Repeat with the remaining pasta and filling to make 24 crackers in total. Transfer to semolina-dusted greaseproof paper as you go., For the sauce, melt the butter in a large frying pan, then, once foamy and starting to darken, squeeze in the clementine juice and swirl to create a creamy butter sauce. Season with pepper and keep warm over a very low heat until needed., Cook the pasta in a large pan of boiling salted water for 3 to 4 minutes, transferring it to the buttery sauce when cooked, with a splash of cooking water. Work in batches (the first will happily sit in the sauce while you cook the rest)., Finish with a grating of nutmeg and Parmesan, and a scattering of toasted, crushed almonds."
Moroccan m'hanncha vegan pie recipe | Jamie Oliver recipes,"Savoury stylee with pearl barley, squash & spices","https://img.jamieoliver.com/jamieoliver/recipe-database/63138355.jpg?tr=w-800,h-1066","['Serves', '8']",plus cooling,"“I love the Moroccan m’hanncha (snake). It’s a wonderful way to wrap up gorgeous smashed veg and grains to make a beautiful-looking dinner, while also adding amazing texture – crunchy on the outside, soft in the middle. Yum. ”",363,8.7g,1.1g,19.7g,0.5g,8.6g,67.2g,6.9g,"100                                                                                                                                                                g                                                                                                                                                                pearl barley, 1                                                                                                                                                                                                                    butternut squash                                                                                                                                                                 , (1.2kg), 2                                                                                                                                                                                                                    red onions, 2                                                                                                                                                                cloves of                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    red peppers, 1 big                                                                                                                                                                bunch of                                                                                                                                                                fresh coriander                                                                                                                                                                , (60g), olive oil, ½                                                                                                                                                                teaspoon                                                                                                                                                                dried red chilli flakes, 1 heaped                                                                                                                                                                 teaspoon                                                                                                                                                                fennel seeds, 1 heaped                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 1 heaped                                                                                                                                                                teaspoon                                                                                                                                                                ground coriander, 100                                                                                                                                                                g                                                                                                                                                                mixed dates and dried apricots, ½                                                                                                                                                                a                                                                                                                                                                lemon, 10                                                                                                                                                                sheets of                                                                                                                                                                filo pastry, 1                                                                                                                                                                tablespoon                                                                                                                                                                shelled pistachios, icing sugar                                                                                                                                                                , for dusting","Cook the pearl barley according to the packet instructions, then drain., Wash the squash, then carefully cut it in half lengthways and remove the seeds. Peel the onions and garlic, and deseed the peppers. Chop the squash, onions and peppers into 1cm dice. Finely chop the garlic with the coriander stalks (reserving the leaves)., Place it all in a pan on a medium-low heat with 2 tablespoons of oil, the chilli flakes, fennel and cumin seeds, and the ground coriander. Sweat with a lid on for 25 to 30 minutes, or until soft but not coloured, stirring occasionally., Destone the dates and finely chop the flesh with the apricots and coriander leaves. Fold into the veg pan with the drained pearl barley, squeeze in the lemon juice, season to perfection, then leave to cool., Preheat the oven to 180ºC/350ºF/gas 4., Lay out two clean damp tea towels on a large work surface, side-by-side, with the longest edges facing you. Working quickly but taking care, lay out 3 sheets of filo side-by-side with the short edges towards you, overlapping each one by 2.5cm and brushing between the overlaps with water., Lightly brush the sheets with oil, place 3 filo sheets directly on top, then repeat with another 3 sheets. Save the remaining sheet for patching up., As evenly as possible, spoon your filling in a line along the long edge closest to you. Brush the opposite long edge with a little oil., Now, I’d recommend finding a friend to help you roll it up. Working slowly and carefully, use the tea towels to help you roll it up and away from you into a giant cigar, keeping it on the damp tea towel at all times. Roll it into a large pinwheel, working quickly but handling it gently to avoid too many cracks., Gently slide it onto a large greased baking tray, and patch up any gaps, if needed. Brush all over with more oil and bake for 45 to 50 minutes, or until gorgeous, crisp and golden., Ten minutes before the end, smash and sprinkle over the pistachios and an extra pinch of each of the spices, if you like., Serve with a super-light dusting of icing sugar. Delicious with all the usual trimmings, or served with a spiced tomato sauce."
Pumpkin pie with pecan crumble | Butternut squash recipes | Jamie Oliver,With vanilla pastry,"https://img.jamieoliver.com/jamieoliver/recipe-database/63117163.jpg?tr=w-800,h-1066","['Serves', '12']",plus chilling,"“Topped with a sticky-sweet, nutty crumble topping, my twist on the American classic is a real treat! I’ve swapped pumpkin for butternut squash here as I love the natural sweetness it gives, plus I find it’s easier to get hold of. Enjoy! ”",355,18g,9g,20.4g,0.2g,5.8g,40g,3g,"PASTRY, 150                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (cold), plus extra for greasing, 250                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 50                                                                                                                                                                g                                                                                                                                                                icing sugar, 1                                                                                                                                                                                                                    vanilla pod, 1                                                                                                                                                                large                                                                                                                                                                free-range egg, semi-skimmed milk, FILLING, 1                                                                                                                                                                large                                                                                                                                                                butternut squash                                                                                                                                                                , (1.5kg), 1                                                                                                                                                                whole                                                                                                                                                                nutmeg                                                                                                                                                                , for grating, ¼                                                                                                                                                                teaspoon                                                                                                                                                                ground ginger, ¼                                                                                                                                                                teaspoon                                                                                                                                                                ground cinnamon, 80                                                                                                                                                                g                                                                                                                                                                soft brown sugar, 2                                                                                                                                                                tablespoons                                                                                                                                                                maple syrup, 50                                                                                                                                                                g                                                                                                                                                                unsalted butter, 3                                                                                                                                                                large                                                                                                                                                                free-range eggs, CRUMBLE TOPPING, 50                                                                                                                                                                g                                                                                                                                                                unsalted pecans, 30                                                                                                                                                                g                                                                                                                                                                unsalted butter                                                                                                                                                                , (cold), 50                                                                                                                                                                g                                                                                                                                                                plain flour, 1                                                                                                                                                                tablespoon                                                                                                                                                                soft brown sugar, 1                                                                                                                                                                tablespoon                                                                                                                                                                maple syrup","Preheat the oven to 200ºC/400ºF/gas 6. Lightly grease a deep, 25cm loose-bottomed tart tin., To make the pastry, chop the butter into 1cm cubes and place in a food processor with the flour, icing sugar and a good pinch of sea salt., Halve the vanilla pod, scrape out the seeds and add to the food processor, then pulse to fine crumbs. Crack in the egg, add a splash of milk, then pulse until it forms a rough dough., Pat and bring the dough together into a round, then wrap in clingfilm and pop in the fridge to chill for at least 1 hour., For the filling, quarter and deseed the squash, place on a  baking tray, then add a generous grating of nutmeg. Sprinkle over the ginger and cinnamon, drizzle with the maple syrup, then cover the tray tightly with a double layer of tin foil and bake 1 hour, or until soft. Leave to cool., Reduce the oven temperature to 180ºC/350ºF/gas 4., On a clean flour-dusted surface, roll out the pastry until it’s around ½cm thick, then loosely roll up around the rolling pin and unroll over the tart tin, easing it in and pushing it carefully into the sides., Trim off any excess pastry, patch up any holes, then prick the base with a fork, cover and chill in the fridge for 30 minutes (use any leftover pastry to make a few cheeky mince pies)., When the time’s up, line the pastry case with quality clingfilm (non-PVC), then fill with rice, making sure you pack it right out to the sides. Bake blind for 10 minutes, remove the clingfilm and rice and bake for a further 10 minutes, or until lightly golden, then leave to cool., Scoop the squash flesh and any bits from the tray into the food processor, add the sugar and maple syrup and whiz until smooth., Melt the butter and pour into the processor, then crack in the eggs and pulse to combine. Fill the cooled pastry case almost to the top with the mix and bake for 25 minutes., Meanwhile, make the topping. Place the pecans into the food processor (give it a quick rinse first) and pulse until roughly chopped, Add the butter, flour, sugar and maple syrup, then pulse to a rough crumb., When the time’s up, remove the tart from the oven, sprinkle over the topping, then bake for a further 20 minutes, or until golden. Leave to cool before slicing., Delicious served with a dollop of boozy cream. I sometimes like to decorate my pie with extra toasted pecans, just before serving, too."
Veggie stuffing | Jamie Oliver stuffing recipes,"Caramelised squash, red onions, sage, cranberries & pistachios","https://img.jamieoliver.com/jamieoliver/recipe-database/99602344.jpg?tr=w-800,h-1066","['a', 'side']",plus cooling,"“I love baking this beautiful veggie stuffing in a pudding bowl – it looks amazing and will get everyone really excited when you bring it to the table. It’s open to the introduction of different nuts and dried fruits, so feel free to mix it up.
 ”",295,14.5g,4.7g,5.5g,1.6g,14.8g,27.8g,1.8g,"1                                                                                                                                                                                                                    small butternut squash, 2                                                                                                                                                                                                                    red onions, olive oil, 1                                                                                                                                                                pinch                                                                                                                                                                ground cinnamon, 1                                                                                                                                                                teaspoon                                                                                                                                                                ground coriander, 1                                                                                                                                                                whole                                                                                                                                                                whole nutmeg                                                                                                                                                                , for grating, 1                                                                                                                                                                bunch                                                                                                                                                                fresh sage                                                                                                                                                                , (30g), 50                                                                                                                                                                g                                                                                                                                                                dried cranberries, 50                                                                                                                                                                g                                                                                                                                                                shelled pistachios, 500                                                                                                                                                                g                                                                                                                                                                stale bread, 300                                                                                                                                                                ml                                                                                                                                                                semi-skimmed milk",
Harissa squash salad | Jamie Oliver recipes,With sliced avocados & beautiful mozzarella,"https://img.jamieoliver.com/jamieoliver/recipe-database/107864995.jpg?tr=w-800,h-1066","['Serves', '4']",In1 hour,,361,24.2g,7.4g,14.2g,1.3g,11.1g,26.3g,5.6g,"1                                                                                                                                                                                                                    butternut squash                                                                                                                                                                , (1.2kg), 1                                                                                                                                                                heaped tablespoon                                                                                                                                                                rose harissa, 2                                                                                                                                                                ripe                                                                                                                                                                avocados, 100                                                                                                                                                                g                                                                                                                                                                mixed salad leaves, 1 x 125                                                                                                                                                                g ball of                                                                                                                                                                mozzarella cheese","Preheat the oven to 180ºC/350ºF/gas 4., Carefully cut the squash into rough 5cm chunks (seeds and all). Then, in a roasting tray, rub all over with the harissa, 1 tablespoon of olive oil and a pinch of sea salt and black pepper., Roast for 50 minutes, or until soft, golden and gnarly., With a few minutes to go, place 1 tablespoon each of extra virgin olive oil and red wine vinegar, and a little salt and pepper, in a large bowl., Halve, peel, destone, slice and toss in the avocados, then gently mix in the salad leaves., Use forks to divide and tear the hot squash (skin, seeds and all) between your plates. Divide up the salad on top and tear over the mozzarella, then serve."
Red Thai chicken soup | Jamie Oliver chicken soup recipes,With butternut squash & coconut milk,"https://img.jamieoliver.com/jamieoliver/recipe-database/55846388.jpg?tr=w-800,h-1066","['Serves', '6']",minutes cook),,354,16.1g,5.8g,11.8g,0.9g,32.8g,20.5g,4.8g,"1 x 1.6                                                                                                                                                                kg                                                                                                                                                                 whole chicken, 1                                                                                                                                                                                                                    butternut squash (1.2kg), 1                                                                                                                                                                bunch of                                                                                                                                                                fresh coriander (30g), 100                                                                                                                                                                g                                                                                                                                                                Thai red curry paste, 1 x 400                                                                                                                                                                ml tin of                                                                                                                                                                light coconut milk","Sit the chicken in a large, deep pan., Carefully halve the squash lengthways, then cut into 3cm chunks, discarding the seeds., Slice the coriander stalks, add to the pan with the squash, curry paste and coconut milk, then pour in 1 litre of water. Cover and simmer on a medium heat for 1 hour 20 minutes., Use tongs to remove the chicken to a platter. Spoon any fat from the surface of the soup over the chicken, then sprinkle with half the coriander leaves., Serve with 2 forks for divvying up the meat at the table. Use a potato masher to crush some of the squash, giving your soup a thicker texture., Taste, season to perfection with sea salt and black pepper, then divide between six bowls and sprinkle with the remaining coriander., Shred and add chicken, as you dig in."
Thai green curry recipe | Jamie Oliver curry recipes,"Roasted squash, leftover greens, tofu & peanuts","https://img.jamieoliver.com/jamieoliver/recipe-database/51137628.jpg?tr=w-800,h-1066","['Serves', '8']",15 minutes,"“The first time I ever had Thai green curry I was sixteen years old and it blew my mind! This green curry paste is so quick to make, yet the flavours are really complex, refreshing and delicious. With Christmas leftovers, it’s a dream. Boom. ”",324,24g,9.7g,10.3g,0.5g,10.2g,18.2g,3.7g,"1                                                                                                                                                                                                                    butternut squash (1.2kg), groundnut oil, 2x 400                                                                                                                                                                g                                                                                                                                                                tins of light coconut milk, 400                                                                                                                                                                g                                                                                                                                                                leftover cooked greens, such as Brussels sprouts, Brussels tops, kale, cabbage, broccoli, 350                                                                                                                                                                g                                                                                                                                                                firm silken tofu, 75                                                                                                                                                                g                                                                                                                                                                unsalted peanuts, sesame oil, 1                                                                                                                                                                                                                    fresh red chilli, 2                                                                                                                                                                                                                    limes, CURRY PASTE, 1                                                                                                                                                                teaspoon                                                                                                                                                                cumin seeds, 2                                                                                                                                                                cloves                                                                                                                                                                garlic, 2                                                                                                                                                                                                                    shallots, 5                                                                                                                                                                cm                                                                                                                                                                piece of ginger, 4                                                                                                                                                                                                                    lime leaves, 2                                                                                                                                                                tablespoons                                                                                                                                                                fish sauce, 4                                                                                                                                                                                                                    fresh green chillies, 2                                                                                                                                                                tablespoons                                                                                                                                                                desiccated coconut, 1                                                                                                                                                                bunch                                                                                                                                                                fresh coriander (30g), 1                                                                                                                                                                stick                                                                                                                                                                lemongrass, 1                                                                                                                                                                                                                    lime","Preheat the oven to 180ºC/350ºF/gas 4., Wash the squash, carefully cut it in half lengthways and remove the seeds, then cut into wedges. In a roasting tray, toss with 1 tablespoon of groundnut oil and a pinch of sea salt and black pepper, then roast for around 1 hour, or until tender and golden., For the paste, toast the cumin seeds in a dry frying pan for 2 minutes, then tip into a food processor., Peel, roughly chop and add the garlic, shallots and ginger, along with the kaffir lime leaves, 2 tablespoons of groundnut oil, the fish sauce, chillies (pull off the stalks), coconut and most of the coriander (stalks and all)., Bash the lemongrass, remove and discard the outer layer, then snap into the processor, squeeze in the lime juice and blitz into a paste, scraping down the sides halfway., Put 1 tablespoon of groundnut oil into a large casserole pan on a medium heat with the curry paste and fry for 5 minutes to get the flavours going, stirring regularly., Tip in the coconut milk and half a tin’s worth of water, then simmer and thicken on a low heat for 5 minutes., Stir in the roasted squash, roughly chop and add the leftover greens and leave to tick away on the lowest heat, then taste and season to perfection., Meanwhile, cube the tofu and fry in a pan on a medium- high heat with 1 tablespoon of groundnut oil for 2 minutes, or until golden., Crush the peanuts in a pestle and mortar and toast in the tofu pan until lightly golden., Serve the curry topped with the golden tofu and peanuts, drizzled with a little sesame oil. Slice the chilli and sprinkle over with the reserved coriander leaves. Serve with lime wedges, for squeezing over. Great with sticky rice."
Classic mince pies | Vegetables recipes | Jamie Oliver recipes,"Flaky pastry, mincemeat, sweet squash, almonds & maple syrup","https://img.jamieoliver.com/jamieoliver/recipe-database/51137620.jpg?tr=w-800,h-1066","['Makes', '24']",plus cooling,"“I love all mince pies at Christmas. This is my nod to the more traditional variety, but I think these are just a bit more interesting than usual, as the addition of delicious, sweet squash really lightens the classic mix. ”",317,13.6g,5.6g,29.4g,0.1g,4.6g,47.4g,1.4g,"FILLING, 1 x 1.2                                                                                                                                                                kg                                                                                                                                                                butternut squash, 1 x 820                                                                                                                                                                g jar of                                                                                                                                                                 quality mincemeat, 4                                                                                                                                                                tablespoons                                                                                                                                                                maple syrup, 100                                                                                                                                                                g                                                                                                                                                                blanched almonds, PASTRY, 500                                                                                                                                                                g                                                                                                                                                                plain flour                                                                                                                                                                , plus extra for dusting, 100                                                                                                                                                                g                                                                                                                                                                icing sugar                                                                                                                                                                , plus extra for dusting, 250                                                                                                                                                                g                                                                                                                                                                unsalted butter (cold)                                                                                                                                                                , plus extra for greasing, 3                                                                                                                                                                large                                                                                                                                                                free-range eggs, 1                                                                                                                                                                tablespoon                                                                                                                                                                semi-skimmed milk","Preheat the oven to 180°C/350°F/gas 4., Roast the whole squash for 1 hour 30 minutes, or until cooked through. Once cool enough to handle, halve and deseed, then scoop half the soft flesh into a bowl to cool (you only need half here, so keep the remaining roasted squash for another recipe)., Meanwhile, to make the pastry, sieve the flour and icing sugar on to a clean work surface. Cube the cold butter, then use your thumbs and fingertips to rub it into the flour and sugar until you end up with a fine, crumbly mixture., Beat 2 eggs and the milk and add to the mixture, then gently work it together until you have a ball of dough – don’t work it too much at this stage as you want to keep it crumbly and short., Flour your clean work surface, pat the dough into a flat round, flour it lightly, wrap in clingfilm and pop it into the fridge for at least half an hour., Lightly grease two 12-hole muffin tins with butter., Add the mincemeat and maple syrup to the bowl of cooled squash, then chop and add the almonds and mix together., Roll out the pastry on a clean flour-dusted surface to 3mm thick. Use a 10cm pastry cutter to cut out 24 circles of dough, then ease and press them into your prepared tins., Equally divide up the filling, then cut out 8cm circles from your leftover pastry to top the pies, crimping the edges together as you go. You can also add pastry shapes to decorate, depending on how many offcuts you have., Brush the tops of the pies with beaten egg, also using it to help you stick on any pastry decorations you’ve cut out., Bake for 25 to 30 minutes in the middle of the oven, or until golden. Leave to cool and firm up for 10 minutes in the tins, then carefully transfer to a wire cooling rack., Dust lightly from a height with icing sugar and serve. Lovely hot with a drizzle of custard, or warm or cold with a cup of tea. You can also box them up for another day, and they’re great as a gift, too."
